screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Metaproterenol sulfate	AC1569	9-A07	CC(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)NCC(C1=CC(=CC(=C1)O)O)O.OS(=O)(=O)O	5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,3-diol;sulfuric acid	5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,3-diol;sulfuric acid	441333	
Metaraminol Bitartrate	AC3178	9-A08	C[C@@H]([C@@H](C1=CC(=CC=C1)O)O)N.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	3-[(1R,2S)-2-amino-1-hydroxypropyl]phenol;(2R,3R)-2,3-dihydroxybutanedioic acid	3-[(1R,2S)-2-amino-1-hydroxypropyl]phenol;(2R,3R)-2,3-dihydroxybutanedioic acid	441414	
Metaxalone	AC3179	9-A09	CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C	5-[(3,5-dimethylphenoxy)methyl]-1,3-oxazolidin-2-one	5-[(3,5-dimethylphenoxy)methyl]-1,3-oxazolidin-2-one	15459	DB00660
Methacholine Chloride	AC3180	9-A10	CC(C[N+](C)(C)C)OC(=O)C.[Cl-]	2-acetyloxypropyl(trimethyl)azanium;chloride	2-acetyloxypropyl(trimethyl)azanium;chloride	6114	
Methazolamide	AC3181	9-A11	CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C	N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-2-ylidene)acetamide	N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-2-ylidene)acetamide	4100	DB00703
Methenamine Hippurate	AC3182	9-B02	C1N2CN3CN1CN(C2)C3.C1=CC=C(C=C1)C(=O)NCC(=O)O	1,3,5,7-tetraazatricyclo[3.3.1.1³,⁷]decane; 2-(phenylformamido)acetic acid	C1N2CN3CN1CN(C2)C3.C1=CC=C(C=C1)C(=O)NCC(=O)O	21945	
Methocarbamol	AC3183	9-B03	COC1=CC=CC=C1OCC(COC(=O)N)O	[2-hydroxy-3-(2-methoxyphenoxy)propyl] carbamate	[2-hydroxy-3-(2-methoxyphenoxy)propyl] carbamate	4107	DB00423
Methotrexate 	440045	9-B04	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid	(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid	126941	DB00563
Methoxsalen (Xanthotoxin)	EI132	9-B05	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2	9-methoxyfuro[3,2-g]chromen-7-one	9-methoxyfuro[3,2-g]chromen-7-one	4114	DB00553
(−)-Scopolamine Methyl Bromide	AC3184	9-B06	C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]	(1S,5S,7R)-1,5-dihydrogenio-7-{[(2S)-3-hydroxy-2-phenylpropanoyl]oxy}-9,9-dimethyl-3-oxa-9-azatricyclo[3.3.1.0²,⁴]nonan-9-ium bromide	C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]	5459110	
Methsuximide	AC3185	9-B07	CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2	1,3-dimethyl-3-phenylpyrrolidine-2,5-dione	1,3-dimethyl-3-phenylpyrrolidine-2,5-dione	6476	DB05246
Methyclothiazide	AC3186	9-B08	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl	6-chloro-3-(chloromethyl)-2-methyl-1,1-dioxo-3,4-dihydro-1$l^{6},2,4-benzothiadiazine-7-sulfonamide	6-chloro-3-(chloromethyl)-2-methyl-1,1-dioxo-3,4-dihydro-1$l^{6},2,4-benzothiadiazine-7-sulfonamide	4121	DB00232
Methyl δ-aminolevulinate hydrochloride	AC3187	9-B09	COC(=O)CCC(=O)CN.Cl	methyl 5-amino-4-oxopentanoate;hydrochloride	COC(=O)CCC(=O)CN.Cl	157921	
Methylergonovine Maleate	NP189	9-B10	CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)O)\C(=O)O	(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide;(Z)-but-2-enedioic acid	CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)O)\C(=O)O	5281072	
Metolazone	AC2611	9-B11	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl	7-chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2-dihydroquinazoline-6-sulfonamide	7-chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2-dihydroquinazoline-6-sulfonamide	4170	DB00524
Metyrapone	EI256	9-C02	CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2	2-methyl-1,2-dipyridin-3-ylpropan-1-one	2-methyl-1,2-dipyridin-3-ylpropan-1-one	4174	DB01011
Mexiletine·HCl	AC2002	9-C04	CC1=C(C(=CC=C1)C)OCC(C)N.Cl	1-(2,6-dimethylphenoxy)propan-2-amine;hydrochloride	1-(2,6-dimethylphenoxy)propan-2-amine;hydrochloride	21467	
Micafungin 	AC2328	9-C05	CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)[C@@H](CC(=O)N)O)C)O)O)O	{5-[(1S,2S)-2-[(3S,6S,9S,11R,18S,20R,21R,24S,25S,26S)-3-[(1R)-2-carbamoyl-1-hydroxyethyl]-11,20,21,25-tetrahydroxy-15-[(1R)-1-hydroxyethyl]-26-methyl-2,5,8,14,17,23-hexaoxo-18-(4-{5-[4-(pentyloxy)phenyl]-1,2-oxazol-3-yl}benzamido)-1,4,7,13,16,22-hexaazatricyclo[22.3.0.0⁹,¹³]heptacosan-6-yl]-1,2-dihydroxyethyl]-2-hydroxyphenyl}oxidanesulfonic acid	CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)[C@@H](CC(=O)N)O)C)O)O)O	477468	DB01141
Miconazole nitrate	AC2343	9-C06	C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-]	1-[2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl]imidazole;nitric acid	1-[2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy]ethyl]imidazole;nitric acid	68553	
Midodrine·HCl	AC3190	9-C08	COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O.Cl	2-amino-N-[2-(2,5-dimethoxyphenyl)-2-hydroxyethyl]acetamide;hydrochloride	2-amino-N-[2-(2,5-dimethoxyphenyl)-2-hydroxyethyl]acetamide;hydrochloride	18340	
Miglitol	AC3191	9-C09	C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O	(2R,3R,4R,5S)-1-(2-hydroxyethyl)-2-(hydroxymethyl)piperidine-3,4,5-triol	(2R,3R,4R,5S)-1-(2-hydroxyethyl)-2-(hydroxymethyl)piperidine-3,4,5-triol	441314	DB00491
Milnacipran·HCl	AC2021	9-C10	CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl	2-(aminomethyl)-N,N-diethyl-1-phenylcyclopropane-1-carboxamide;hydrochloride	CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl	13208114	
Mirtazapine	AC1366	9-C11	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	5-methyl-2,5,19-triazatetracyclo[13.4.0.0²,⁷.0⁸,¹³]nonadeca-1(15),8(13),9,11,16,18-hexaene	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4	4205	DB00370
Mitotane	AC2341	9-D02	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl	1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene	1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene	4211	DB00648
Moexipril·HCl	AC3192	9-D04	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC(=C(C=C3C[C@H]2C(=O)O)OC)OC.Cl	(3S)-2-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-6,7-dimethoxy-3,4-dihydro-1H-isoquinoline-3-carboxylic acid;hydrochloride	(3S)-2-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]-6,7-dimethoxy-3,4-dihydro-1H-isoquinoline-3-carboxylic acid;hydrochloride	54889	
Mometasone Furoate	AC3193	9-D05	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C	[(8S,9R,10S,11S,13S,14S,16R,17R)-9-chloro-17-(2-chloroacetyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] furan-2-carboxylate	[(8S,9R,10S,11S,13S,14S,16R,17R)-9-chloro-17-(2-chloroacetyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] furan-2-carboxylate	441336	DB14512
Mupirocin	AC3194	9-D06	C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O	9-[(E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3-[(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl]methyl]oxan-2-yl]-3-methylbut-2-enoyl]oxynonanoic acid	9-[(E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3-[(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl]methyl]oxan-2-yl]-3-methylbut-2-enoyl]oxynonanoic acid	446596	DB00410
Nadolol	AC3195	9-D07	CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O	(2R,3S)-5-[3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol	(2R,3S)-5-[3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol	39147	DB01203
Nafcillin·Na	AC3196	9-D08	CCOC1=C(C2=CC=CC=C2C=C1)C(=N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O)[O-].[Na+]	sodium;N-[(2S,5R,6R)-2-carboxy-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptan-6-yl]-2-ethoxynaphthalene-1-carboximidate	CCOC1=C(C2=CC=CC=C2C=C1)C(=N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O)[O-].[Na+]	101534048	
Naftifine·HCl	AC3197	9-D09	CN(C/C=C/C1=CC=CC=C1)CC2=CC=CC3=CC=CC=C32.Cl	(E)-N-methyl-N-(naphthalen-1-ylmethyl)-3-phenylprop-2-en-1-amine;hydrochloride	(E)-N-methyl-N-(naphthalen-1-ylmethyl)-3-phenylprop-2-en-1-amine;hydrochloride	47640	
Naratriptan·HCl	AC3198	9-D10	CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C.Cl	N-methyl-2-[3-(1-methylpiperidin-4-yl)-1H-indol-5-yl]ethanesulfonamide;hydrochloride	N-methyl-2-[3-(1-methylpiperidin-4-yl)-1H-indol-5-yl]ethanesulfonamide;hydrochloride	60875	
Natamycin	AC2112	9-D11	C[C@@H]1C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]3[C@H](O3)/C=C/C(=O)O1)O)O)O)C(=O)O)O[C@H]4[C@H]([C@H]([C@@H]([C@H](O4)C)O)N)O	(1R,3S,5R,7R,8E,12R,14E,16E,18E,20E,22R,24S,25R,26S)-22-{[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy}-1,3,26-trihydroxy-12-methyl-10-oxo-6,11,28-trioxatricyclo[22.3.1.0⁵,⁷]octacosa-8,14,16,18,20-pentaene-25-carboxylic acid	Natamycin	5284447	DB00826
Nebivolol·HCl	AC3199	9-E02	C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O.Cl	(1S)-1-[(2S)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]-2-[[(2S)-2-[(2R)-6-fluoro-3,4-dihydro-2H-chromen-2-yl]-2-hydroxyethyl]amino]ethanol;hydrochloride	C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O.Cl	9933004	
Nelarabine	AC3200	9-E03	COC1=NC(=NC2=C1N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N	(2R,3S,4S,5R)-2-(2-amino-6-methoxypurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	(2R,3S,4S,5R)-2-(2-amino-6-methoxypurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	248862	
Nepafenac	AC3201	9-E04	C1=CC=C(C=C1)C(=O)C2=C(C(=CC=C2)CC(=O)N)N	2-(2-amino-3-benzoylphenyl)acetamide	2-(2-amino-3-benzoylphenyl)acetamide	151075	DB06802
Nevirapine	AC2306	9-E05	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4	11-cyclopropyl-4-methyl-5H-dipyrido[2,3-e:2',3'-f][1,4]diazepin-6-one	CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4	4463	DB00238
Niacin	460009	9-E06	C1=CC(=CN=C1)C(=O)O	pyridine-3-carboxylic acid	pyridine-3-carboxylic acid	938	DB00627
Nicotine	AC782	9-E07	CN1CCCC1C2=CN=CC=C2	3-[(2S)-1-methylpyrrolidin-2-yl]pyridine	3-[(2S)-1-methylpyrrolidin-2-yl]pyridine	89594	DB00184
Nilotinib	AC2005	9-E08	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5	4-methyl-N-[3-(4-methylimidazol-1-yl)-5-(trifluoromethyl)phenyl]-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]benzamide	4-methyl-N-[3-(4-methylimidazol-1-yl)-5-(trifluoromethyl)phenyl]-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]benzamide	644241	DB04868
Nilutamide	AC3202	9-E09	CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C	5,5-dimethyl-3-[4-nitro-3-(trifluoromethyl)phenyl]imidazolidine-2,4-dione	5,5-dimethyl-3-[4-nitro-3-(trifluoromethyl)phenyl]imidazolidine-2,4-dione	4493	DB00665
Nitazoxanide	AC3203	9-E10	CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]	[2-[(5-nitro-1,3-thiazol-2-yl)carbamoyl]phenyl] acetate	[2-[(5-nitro-1,3-thiazol-2-yl)carbamoyl]phenyl] acetate	41684	DB00507
Nitisinone	AC3204	9-E11	C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-]	2-[2-nitro-4-(trifluoromethyl)benzoyl]cyclohexane-1,3-dione	2-[2-nitro-4-(trifluoromethyl)benzoyl]cyclohexane-1,3-dione	115355	DB00348
Nitrofurantoin	AC2317	9-F02	C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]	1-[(E)-(5-nitrofuran-2-yl)methylideneamino]imidazolidine-2,4-dione	1-[(E)-(5-nitrofuran-2-yl)methylideneamino]imidazolidine-2,4-dione	6604200	DB00698
Nizatidine	AC2345	9-F03	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C	(E)-1-N'-[2-[[2-[(dimethylamino)methyl]-1,3-thiazol-4-yl]methylsulfanyl]ethyl]-1-N-methyl-2-nitroethene-1,1-diamine	Nizatidine	3033637	DB00585
Nortriptyline·HCl	AC3205	9-F04	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	3-(5,6-dihydrodibenzo[2,1-b:2',1'-f][7]annulen-11-ylidene)-N-methylpropan-1-amine;hydrochloride	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	441358	
Olsalazine·Na	AC3206	9-F05	C1=CC(=C(C=C1NN=C2C=CC(=O)C(=C2)C(=O)O)C(=O)[O-])[O-].[Na+].[Na+]	disodium;5-[2-(3-carboxy-4-oxocyclohexa-2,5-dien-1-ylidene)hydrazinyl]-2-oxidobenzoate	C1=CC(=C(C=C1NN=C2C=CC(=O)C(=C2)C(=O)O)C(=O)[O-])[O-].[Na+].[Na+]	135413505	
Orlistat 	350152	9-F06	CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	[(2S)-1-[(2S,3S)-3-hexyl-4-oxooxetan-2-yl]tridecan-2-yl] (2S)-2-formamido-4-methylpentanoate	[(2S)-1-[(2S,3S)-3-hexyl-4-oxooxetan-2-yl]tridecan-2-yl] (2S)-2-formamido-4-methylpentanoate	3034010	DB01083
Oxaprozin	AC3207	9-F07	C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3	3-(4,5-diphenyl-1,3-oxazol-2-yl)propanoic acid	3-(4,5-diphenyl-1,3-oxazol-2-yl)propanoic acid	4614	DB00991
Oxtriphylline	AC3209	9-F09	CN1C(=C2C(=NC=N2)N(C1=O)C)[O-].C[N+](C)(C)CCO	1,3-dimethyl-2-oxopurin-6-olate;2-hydroxyethyl(trimethyl)azanium	CN1C(=C2C(=NC=N2)N(C1=O)C)[O-].C[N+](C)(C)CCO	656652	DB01303
Oxybutynin Chloride	AC3210	9-F10	CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.Cl	4-(diethylamino)but-2-ynyl 2-cyclohexyl-2-hydroxy-2-phenylacetate;hydrochloride	4-(diethylamino)but-2-ynyl 2-cyclohexyl-2-hydroxy-2-phenylacetate;hydrochloride	91505	
Oxytetracycline·HCl	AC3211	9-F11	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl	(4S,4aR,5S,5aR,6S,12aR)-4-(dimethylamino)-1,5,6,10,11,12a-hexahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide;hydrochloride	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl	54680782	
Paliperidone	AC2009	9-G02	CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-9-hydroxy-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one	3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-9-hydroxy-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one	115237	DB01267
Palonosetron·HCl	AC3212	9-G03	C1C[C@@H]2CN(C(=O)C3=C2C(=CC=C3)C1)[C@@H]4CN5CCC4CC5.Cl	(3aS)-2-[(3S)-1-azabicyclo[2.2.2]octan-3-yl]-3a,4,5,6-tetrahydro-3H-benzo[de]isoquinolin-1-one;hydrochloride	C1C[C@@H]2CN(C(=O)C3=C2C(=CC=C3)C1)[C@@H]4CN5CCC4CC5.Cl	6918303	
Paromomycin Sulfate	AC3213	9-G04	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O	(2S,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-[(2R,3S,4R,5S)-5-[(1R,2R,3S,5R,6S)-3,5-diamino-2-[(2S,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-hydroxycyclohexyl]oxy-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl]oxyoxane-3,4-diol;sulfuric acid	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O	441375	
Pazopanib·HCl	AC3214	9-G05	CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl	5-[[4-[(2,3-dimethylindazol-6-yl)-methylamino]pyrimidin-2-yl]amino]-2-methylbenzenesulfonamide;hydrochloride	5-[[4-[(2,3-dimethylindazol-6-yl)-methylamino]pyrimidin-2-yl]amino]-2-methylbenzenesulfonamide;hydrochloride	11525740	
Pemetrexed Disodium	AC3215	9-G06	C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]	disodium;(2S)-2-[[4-[2-(2-amino-4-oxo-1,7-dihydropyrrolo[2,3-d]pyrimidin-5-yl)ethyl]benzoyl]amino]pentanedioate	C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]	135413520	
Pemirolast Potassium	AC3216	9-G07	CC1=CC=CN2C1=NC=C(C2=O)C3=NN=N[N-]3.[K+]	potassium;9-methyl-3-(1,2,3-triaza-4-azanidacyclopenta-2,5-dien-5-yl)pyrido[1,2-a]pyrimidin-4-one	CC1=CC=CN2C1=NC=C(C2=O)C3=NN=N[N-]3.[K+]	443866	
Penicillamine (D-Penicillamine)	AC3217	9-G08	CC(C)([C@H](C(=O)O)N)S	(2S)-2-amino-3-methyl-3-sulfanylbutanoic acid	(2S)-2-amino-3-methyl-3-sulfanylbutanoic acid	5852	DB00859
Penicillin G potassium salt	AC2607	9-G09	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+]	potassium;(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate	potassium;(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate	640429	
Pentamidine Isethionate	AC1801	9-G10	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O	4-[5-(4-carbamimidoylphenoxy)pentoxy]benzenecarboximidamide;2-hydroxyethanesulfonic acid	4-[5-(4-carbamimidoylphenoxy)pentoxy]benzenecarboximidamide;2-hydroxyethanesulfonic acid	8813	
Pentostatin	AC2019	9-G11	C1[C@@H]([C@H](O[C@@H]1N2C=NC3=C2NC=NC[C@H]3O)CO)O	(8R)-3-[(2S,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-7,8-dihydro-4H-imidazo[4,5-d][1,3]diazepin-8-ol	C1[C@@H]([C@H](O[C@@H]1N2C=NC3=C2NC=NC[C@H]3O)CO)O	22810415	
Perindopril Erbumine	AC3218	9-H02	CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O.CC(C)(C)N	(2S,3aS,7aS)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxopentan-2-yl]amino]propanoyl]-2,3,3a,4,5,6,7,7a-octahydroindole-2-carboxylic acid;2-methylpropan-2-amine	(2S,3aS,7aS)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxopentan-2-yl]amino]propanoyl]-2,3,3a,4,5,6,7,7a-octahydroindole-2-carboxylic acid;2-methylpropan-2-amine	441313	
Permethrin	PR103	9-H03	CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C	(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate	(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate	40326	DB04930
Perphenazine	AC2349	9-H04	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO	2-[4-[3-(2-chlorophenothiazin-10-yl)propyl]piperazin-1-yl]ethanol	2-[4-[3-(2-chlorophenothiazin-10-yl)propyl]piperazin-1-yl]ethanol	4748	DB00850
Phenelzine Sulfate	AC3219	9-H05	C1=CC=C(C=C1)CCNN.OS(=O)(=O)O	2-phenylethylhydrazine;sulfuric acid	2-phenylethylhydrazine;sulfuric acid	61100	
Phenylephrine 	AC3220	9-H06	CNC[C@@H](C1=CC(=CC=C1)O)O	3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol	3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol	6041	DB00388
Phytonadione	AC3221	9-H07	CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C	2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione	2-methyl-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione	5284607	DB01022
